name,subGroup,value,year,tcolour
Wilson,94 months in office,2,31,#ee3224
Heath,45 months in office,3,31,#00539f
Macdonald,82 months in office,3,31,#ee3224
Cameron,75 months in office,4,31,#00539f
Major,78 months in office,4,31,#00539f
Chamberlain,36 months in office,5,31,#00539f
Macmillan,82 months in office,5,31,#00539f
Balfour,41 months in office,6,31,#00539f
Lloyd George,71 months in office,6,31,#ffb703
Blair,122 months in office,8,31,#ee3224
Brown,35 months in office,13,31,#ee3224
May,34 months in office,23,31,#00539f
Asquith,105 months in office,0,32,#ffb703
Thatcher,139 months in office,0,32,#00539f
Baldwin,87 months in office,1,32,#00539f
Churchill,104 months in office,1,32,#00539f
Attlee,76 months in office,2,32,#ee3224
Eden,22 months in office,2,32,#00539f
Wilson,94 months in office,2,32,#ee3224
Callaghan,37 months in office,3,32,#ee3224
Heath,45 months in office,3,32,#00539f
Macdonald,82 months in office,3,32,#ee3224
Major,78 months in office,4,32,#00539f
Cameron,75 months in office,5,32,#00539f
Chamberlain,36 months in office,5,32,#00539f
Macmillan,82 months in office,5,32,#00539f
Lloyd George,71 months in office,6,32,#ffb703
Balfour,41 months in office,7,32,#00539f
Blair,122 months in office,10,32,#ee3224
Brown,35 months in office,13,32,#ee3224
May,34 months in office,25,32,#00539f
Asquith,105 months in office,0,33,#ffb703
Baldwin,87 months in office,1,33,#00539f
Churchill,104 months in office,1,33,#00539f
Thatcher,139 months in office,1,33,#00539f
Attlee,76 months in office,2,33,#ee3224
Eden,22 months in office,2,33,#00539f
Wilson,94 months in office,2,33,#ee3224
Callaghan,37 months in office,3,33,#ee3224
Heath,45 months in office,3,33,#00539f
Macdonald,82 months in office,3,33,#ee3224
Major,78 months in office,4,33,#00539f
Cameron,75 months in office,5,33,#00539f
Chamberlain,36 months in office,5,33,#00539f
Macmillan,82 months in office,5,33,#00539f
Lloyd George,71 months in office,6,33,#ffb703
Balfour,41 months in office,7,33,#00539f
Blair,122 months in office,11,33,#ee3224
Brown,35 months in office,13,33,#ee3224
May,34 months in office,30,33,#00539f
Asquith,105 months in office,0,34,#ffb703
Baldwin,87 months in office,1,34,#00539f
Churchill,104 months in office,1,34,#00539f
Thatcher,139 months in office,1,34,#00539f
Attlee,76 months in office,2,34,#ee3224
Eden,22 months in office,2,34,#00539f
Heath,45 months in office,3,34,#00539f
Macdonald,82 months in office,3,34,#ee3224
Wilson,94 months in office,3,34,#ee3224
Callaghan,37 months in office,4,34,#ee3224
Cameron,75 months in office,5,34,#00539f
Chamberlain,36 months in office,5,34,#00539f
Macmillan,82 months in office,5,34,#00539f
Major,78 months in office,5,34,#00539f
Lloyd George,71 months in office,6,34,#ffb703
Balfour,41 months in office,7,34,#00539f
